Nome,Estilo,Padrao,Score,Pronuncia,Memorizacao,Comprimento,Sonoridade,Originalidade,EstiloScore,GitHub,.com,.com.br,.io,.dev,.app,npm,DockerHub
Alcelar,Minimal,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alcelio,Minimal,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alcelis,Minimal,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alcelix,Minimal,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alcelor,Minimal,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alcelos,Minimal,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alcelosa,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alcelua,Minimal,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alcelum,Minimal,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alceluma,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alceluna,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alcelur,Minimal,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alcelura,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alcelva,Minimal,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alcelver,Minimal,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alcelvi,Minimal,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alcelvo,Minimal,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alcelyn,Minimal,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alcelyna,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alcelza,Minimal,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alcoran,Minimal,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alcoras,Minimal,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alcorel,Minimal,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alcorena,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alcoria,Minimal,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alcorisa,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alcorixa,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alcorua,Minimal,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alcoruma,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alcoruna,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alcorva,Minimal,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alcorver,Minimal,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alcorvo,Minimal,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alcorxa,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alcorya,Minimal,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
